,bestParams,mse,rmse,r2
Gradient Boosting,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 100}",154055456244.93994,392498.98884575476,0.9776993532460909
Random Forest,{},156069405068.03906,395056.2049481555,0.9774078195193466
Linear Regression,{},2336264166734.6436,1528484.271013164,0.6618087851213242
Ridge Regression,{'alpha': 10},2340223014133.0205,1529778.7467908622,0.6612357131929696
Lasso Regression,{'alpha': 10},2343644415383.954,1530896.6050599087,0.6607404404998745
