,bestParams,mse,rmse,r2
Gradient Boosting,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 100}",766993426523.2933,875781.6089204508,0.8889721280610076
Random Forest,{},829566750352.7069,910805.5502425899,0.8799141847401357
Ridge Regression,{'alpha': 100},578914005134280.6,24060631.852349196,-82.8020089912545
Lasso Regression,{'alpha': 100},581338407502333.4,24110960.3189573,-83.15295885124078
Linear Regression,{},583178196478387.5,24149082.725403618,-83.41928167457192
