,MSE,RMSE,R^2
Gradient Boosting,553036459087.4479,743664.2112455379,0.8827934619996589
Random Forest,607941035067.0576,779705.736202484,0.8711573841874198
Ridge Regression,2816647105744.9277,1678286.9557214964,0.40306023118659806
Linear Regression,2816845714385.393,1678346.124726778,0.40301813951111554
Lasso Regression,2816903318023.249,1678363.285472859,0.4030059314136957
