,bestParams,mse,rmse,r2
Gradient Boosting,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 100}",155037007484.3974,393747.3904477303,0.9775572665716197
Random Forest,{},160996651454.47998,401243.880270441,0.9766945648004823
Lasso Regression,{'alpha': 100},3200451879304.6255,1788980.6816465699,0.5367113340031342
Linear Regression,{},3296918365498.047,1815741.8223684905,0.522747109141342
Ridge Regression,{'alpha': 10},3301373105451.036,1816968.1079895254,0.5221022531622446
