,bestParams,mse,rmse,r2
Gradient Boosting,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}",755401645794.4132,869138.4503026047,0.8906501225545782
Random Forest,{},802031446520.9188,895562.0841242214,0.8839001200583756
Ridge Regression,{'alpha': 100},518816736878688.9,22777548.96556451,-74.10249270724827
Lasso Regression,{'alpha': 100},520990351276110.3,22825213.06091381,-74.4171391861048
Linear Regression,{},522554408230934.5,22859448.992286198,-74.64354779572311
