,bestParams,mse,rmse,r2
Gradient Boosting,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}",535497625575.1073,731777.0326917259,0.8907193632490445
Random Forest,{},580360302820.7819,761813.8242515568,0.8815640996183335
Ridge Regression,{'alpha': 100},353754455682797.44,18808361.323698495,-71.19175272530059
Lasso Regression,{'alpha': 100},354930765295836.6,18839606.293546494,-71.4318058224383
Linear Regression,{},356325962934424.75,18876598.28820926,-71.71652806779764
